id,property_type,neighborhood,original_price,sale_price,days_to_sell,agent
2282,Apartment,West Seattle,579438,668511,101,Sarah Moore
2283,House,Downtown,1455713,1582116,4,David Williams
2284,Condo,Downtown,1029438,1056795,94,Lisa Miller
2285,Apartment,West Seattle,1102327,1179071,3,Chris Johnson
2286,Condo,Ballard,788308,773379,29,David Smith
2287,Condo,Beacon Hill,743956,715224,4,Mike Brown
2288,House,Downtown,888988,852691,111,Sarah Moore
2289,Apartment,Ballard,467341,422887,66,Emily Wilson
2290,Condo,South Lake Union,1064261,1032930,11,John Davis
2291,Apartment,Northgate,864659,823174,83,Chris Jones
2292,House,South Lake Union,570112,538559,53,Sarah Taylor
2293,House,West Seattle,1478348,1454223,82,Chris Brown
2294,Condo,South Lake Union,670563,664843,116,Mike Johnson
2295,Apartment,Downtown,441779,479346,97,Tom Jones
2296,House,Capitol Hill,1250697,1125842,49,Mike Miller
2297,House,South Lake Union,1171266,1224316,92,Chris Miller
2298,Apartment,West Seattle,822081,968428,119,Sarah Williams
2299,Condo,Downtown,900728,981716,7,Emily Davis
2300,Condo,Capitol Hill,1026362,951627,89,Emily Smith
2301,Apartment,South Lake Union,312593,356692,98,Laura Taylor
2302,House,Beacon Hill,1120523,1035006,103,Mike Wilson
2303,House,Capitol Hill,1337911,1443747,101,John Moore
2304,Condo,Beacon Hill,1314973,1328624,67,Sarah Moore
2305,Condo,South Lake Union,1471628,1363530,45,Chris Taylor
2306,House,Capitol Hill,811635,927635,55,Lisa Johnson
2307,Apartment,Downtown,1430796,1426333,80,Chris Taylor
2308,Condo,West Seattle,962359,1005764,71,Laura Davis
2309,House,West Seattle,1077272,1001230,64,Tom Jones
2310,Condo,Capitol Hill,1010902,1182130,88,David Williams
2311,Condo,Downtown,729191,833045,10,Mike Williams
2312,Apartment,Capitol Hill,926446,1063027,85,Tom Jones
2313,House,Northgate,1047332,1128615,43,Emily Brown
2314,Condo,West Seattle,987784,923114,93,Tom Taylor
2315,House,Downtown,910311,1031466,19,Chris Brown
2316,Condo,South Lake Union,962125,1015145,52,Emily Davis
2317,Apartment,Northgate,1469308,1397869,99,Mike Moore
2318,Apartment,Ballard,1054300,1149420,1,Jane Williams
2319,Apartment,Ballard,671947,677080,113,Emily Wilson
2320,Apartment,Capitol Hill,747798,683436,117,Sarah Jones
2321,Apartment,South Lake Union,547820,551055,45,Tom Wilson
2322,Apartment,West Seattle,553622,656699,7,Mike Miller
2323,Apartment,Ballard,573456,665774,65,Emily Jones
2324,Apartment,South Lake Union,1293311,1505635,47,Tom Williams
2325,Apartment,West Seattle,1138753,1230959,75,Mike Brown
2326,Apartment,Beacon Hill,415291,461212,77,Tom Taylor
2327,Condo,West Seattle,1246780,1316033,48,Laura Jones
2328,House,Northgate,601444,609239,20,Tom Wilson
2329,House,Downtown,938009,1097199,20,Tom Taylor
2330,House,West Seattle,423850,419994,87,Tom Jones
2331,House,South Lake Union,1012393,984908,84,Tom Jones
2332,Apartment,Ballard,906202,881008,41,Lisa Wilson
2333,Apartment,Capitol Hill,742442,841378,55,Emily Smith
2334,Apartment,Northgate,868706,1024208,93,Chris Miller
2335,Condo,Downtown,508918,597545,16,John Brown
2336,Apartment,South Lake Union,610893,562749,50,Mike Williams
2337,Apartment,Northgate,847919,764938,118,Lisa Jones
2338,Condo,Capitol Hill,1046990,1017991,12,Emily Brown
2339,Condo,Capitol Hill,564121,535992,21,Lisa Wilson
2340,House,South Lake Union,464355,477916,43,Mike Johnson
2341,Condo,Beacon Hill,1298716,1185548,120,John Williams
2342,Condo,South Lake Union,1222083,1374810,73,Emily Wilson
2343,House,Ballard,331233,316410,73,Tom Jones
2344,House,Northgate,876287,850040,110,Chris Jones
2345,Condo,Downtown,854462,867997,52,Lisa Smith
2346,House,Beacon Hill,761231,735699,75,Jane Wilson
2347,House,West Seattle,1411471,1413998,81,Lisa Jones
2348,Apartment,Downtown,703018,725810,17,John Jones
2349,Condo,Beacon Hill,1425498,1680081,8,Sarah Taylor
2350,House,Downtown,407511,387502,81,Emily Smith
2351,Condo,Northgate,452828,519748,120,Emily Smith
2352,House,Downtown,1419958,1433812,80,Tom Wilson
2353,House,Ballard,310380,365253,93,Sarah Brown
2354,Apartment,Northgate,1295646,1283736,46,Jane Davis
2355,House,West Seattle,721845,719761,34,Jane Williams
2356,Condo,Northgate,1097690,1068219,35,Lisa Jones
2357,Condo,South Lake Union,399348,423417,63,Chris Jones
2358,Apartment,Ballard,781952,801986,78,Mike Jones
2359,Apartment,Capitol Hill,1076062,1077922,10,Sarah Moore
2360,Condo,Ballard,1331801,1464621,90,Sarah Taylor
2361,Condo,Capitol Hill,1345832,1300509,103,David Miller
2362,House,Northgate,1094935,1035449,112,Laura Smith
2363,Apartment,West Seattle,731218,829457,113,Mike Johnson
2364,Condo,Northgate,706185,754588,81,Jane Smith
2365,House,Downtown,1360288,1391563,117,Mike Williams
2366,House,Beacon Hill,1407523,1393902,13,Chris Moore
2367,House,Ballard,1413888,1501090,91,Laura Wilson
2368,House,Capitol Hill,698179,783020,41,Chris Miller
2369,Condo,Northgate,1491757,1414353,40,David Johnson
2370,House,Downtown,388027,416118,95,John Williams
2371,House,Northgate,882118,828424,7,Lisa Jones
2372,Condo,Northgate,467695,426646,5,Sarah Davis
2373,House,Capitol Hill,994218,927310,99,Mike Williams
2374,House,West Seattle,358511,365029,38,Mike Brown
2375,House,Ballard,675439,777013,88,Lisa Moore
2376,House,Beacon Hill,1006141,984247,80,Jane Davis
2377,Apartment,West Seattle,625394,616927,25,Tom Jones
2378,Apartment,South Lake Union,1166833,1351384,58,Chris Moore
2379,Condo,Downtown,827532,938469,112,Laura Taylor
2380,Apartment,Capitol Hill,657389,632677,23,Chris Smith
2381,Apartment,Downtown,890349,909193,85,Sarah Taylor
2382,Apartment,Capitol Hill,1005309,1067168,57,David Davis
2383,Condo,South Lake Union,341384,358156,21,John Wilson
2384,House,West Seattle,1203959,1114664,72,Lisa Smith
2385,Apartment,Northgate,642300,700019,120,Jane Williams
2386,Apartment,South Lake Union,700771,765513,92,John Davis
2387,Apartment,Downtown,1093961,1175399,85,David Johnson
2388,Apartment,Downtown,1403569,1669289,17,Sarah Taylor
2389,Apartment,South Lake Union,1080851,1002652,16,Sarah Taylor
2390,Apartment,Downtown,1034378,1239736,62,Chris Smith
2391,House,Capitol Hill,736918,796894,40,Sarah Williams
2392,Condo,Capitol Hill,302019,276572,118,Laura Jones
2393,Condo,West Seattle,780155,823206,51,Chris Jones
2394,House,South Lake Union,1359901,1319771,58,Jane Davis
2395,Apartment,Downtown,902693,932248,21,Emily Williams
2396,Apartment,West Seattle,675145,760815,88,David Williams
2397,House,Ballard,602688,707467,56,Emily Johnson
2398,House,Ballard,662699,686531,101,Laura Jones
2399,Apartment,Northgate,1256787,1159895,21,Chris Taylor
2400,Condo,South Lake Union,889823,917117,8,Sarah Taylor
2401,Apartment,Capitol Hill,814051,889719,111,Chris Brown
2402,House,Northgate,1035049,1113187,94,David Johnson
2403,House,Capitol Hill,1402954,1458180,30,Tom Jones
2404,Condo,Capitol Hill,1176625,1136472,10,Sarah Taylor
2405,Apartment,Capitol Hill,1284028,1173924,89,Tom Jones
2406,House,Northgate,1349251,1481628,120,Emily Davis
2407,House,Northgate,886506,1063326,59,Sarah Smith
2408,Condo,South Lake Union,728983,819733,22,Mike Miller
2409,Condo,West Seattle,781664,842731,20,Chris Taylor
2410,Condo,West Seattle,1223300,1360088,93,John Williams
2411,Condo,Ballard,1163898,1392120,74,Lisa Johnson
2412,House,Northgate,1493888,1752295,60,Tom Moore
2413,House,West Seattle,522751,521437,28,Mike Davis
2414,House,Ballard,699002,646885,81,Sarah Williams
2415,House,South Lake Union,1067429,1021295,29,Sarah Smith
2416,Apartment,Beacon Hill,545780,565776,10,Sarah Taylor
2417,Condo,Beacon Hill,935383,981964,119,Mike Brown
2418,Condo,Capitol Hill,853025,931195,71,Chris Miller
2419,House,Ballard,580195,585983,103,Lisa Jones
2420,Condo,Northgate,1194600,1359583,104,Emily Johnson
2421,House,Downtown,1360280,1379904,91,Mike Brown
2422,Condo,West Seattle,1464557,1654432,7,Chris Miller
2423,Apartment,Northgate,1225300,1150943,14,John Taylor
2424,Condo,Capitol Hill,450711,475071,100,Sarah Taylor
2425,Apartment,Ballard,939480,1007292,109,John Taylor
2426,Condo,South Lake Union,1427729,1547444,76,Emily Jones
2427,Apartment,Beacon Hill,1047910,1024990,54,Chris Brown
2428,House,Capitol Hill,349772,396954,99,Laura Johnson
2429,Condo,South Lake Union,528170,551170,12,Sarah Davis
2430,Apartment,Capitol Hill,610352,577092,46,Laura Miller
2431,Condo,Capitol Hill,1014180,1095405,120,Sarah Wilson
2432,House,Beacon Hill,1458803,1441165,92,Chris Moore
2433,Apartment,Downtown,1415420,1607859,44,Sarah Jones
2434,Condo,South Lake Union,525742,505681,113,Emily Moore
2435,House,West Seattle,1471438,1726798,64,Mike Miller
2436,House,Capitol Hill,1435729,1338430,40,Lisa Johnson
2437,Condo,West Seattle,735970,681629,35,John Miller
2438,House,Beacon Hill,1041492,1060972,69,Chris Miller
2439,Condo,South Lake Union,1080943,1105850,39,Jane Davis
2440,Condo,Ballard,425894,483141,108,Mike Williams
2441,Apartment,Ballard,831785,971264,63,Mike Williams
2442,Apartment,Ballard,793489,794503,10,John Brown
2443,Apartment,Downtown,1132692,1267560,102,Emily Jones
2444,Apartment,Ballard,1322521,1581027,98,Chris Johnson
2445,Condo,Northgate,347709,407643,92,Laura Johnson
2446,Apartment,Ballard,785735,762894,85,Chris Miller
2447,House,Downtown,312832,303314,15,Tom Williams
2448,Apartment,Beacon Hill,888757,838189,105,Mike Johnson
2449,House,Beacon Hill,841758,1006669,48,Lisa Jones
2450,Apartment,Beacon Hill,689481,778283,5,Tom Davis
2451,House,Beacon Hill,796580,750418,7,Emily Johnson
2452,Apartment,South Lake Union,751693,779116,108,Laura Brown
2453,House,Downtown,972744,924348,59,John Moore
2454,Condo,Beacon Hill,1425096,1643160,5,Laura Moore
2455,Apartment,Northgate,670185,626976,61,Lisa Moore
2456,Apartment,South Lake Union,313209,333464,45,Emily Davis
2457,Apartment,Northgate,615673,570873,39,Tom Taylor
2458,Apartment,Downtown,1001105,1102181,117,Chris Miller
2459,House,Northgate,1029683,1197692,70,Laura Jones
2460,Condo,Northgate,559019,557365,1,Chris Williams
2461,House,Capitol Hill,1430348,1475703,86,David Miller
2462,House,Northgate,959132,871127,72,John Johnson
2463,Apartment,Beacon Hill,367780,387584,40,Emily Davis
2464,Condo,Beacon Hill,1089312,1031247,84,Laura Jones
2465,Condo,Ballard,1390704,1309400,37,Jane Wilson
2466,Condo,Downtown,1425082,1503405,29,Laura Jones
2467,Apartment,Beacon Hill,1387277,1484375,45,David Miller
2468,House,West Seattle,1199470,1225171,48,Chris Taylor
2469,Condo,Downtown,1099119,1318886,18,Emily Brown
2470,House,Downtown,659680,772049,32,Mike Davis
2471,Apartment,Ballard,1095083,1066479,91,Tom Davis
2472,Apartment,West Seattle,929056,873366,17,Emily Wilson
2473,Condo,Beacon Hill,530706,635139,5,Jane Smith
2474,Apartment,Northgate,832900,988077,37,Emily Moore
2475,Apartment,South Lake Union,399543,441494,83,Chris Jones
2476,Condo,Capitol Hill,399485,454698,117,Laura Smith
2477,House,Capitol Hill,556845,651284,37,Emily Brown
2478,House,West Seattle,1444203,1462327,64,Laura Davis
2479,Condo,South Lake Union,860748,963927,26,Jane Davis
2480,Apartment,West Seattle,1088279,1013764,24,Tom Wilson
2481,Apartment,Downtown,1281752,1291011,78,Lisa Jones
2482,Condo,South Lake Union,1011140,999691,112,Sarah Davis
2483,Apartment,West Seattle,1075742,1094105,91,Mike Moore
2484,House,Northgate,1428960,1458654,69,Emily Wilson
2485,House,Downtown,1154817,1205966,16,Mike Brown
2486,Apartment,Ballard,902279,994439,78,Laura Williams
2487,House,Beacon Hill,490084,463382,110,Sarah Davis
2488,Apartment,Northgate,546249,607314,25,Chris Johnson
2489,Apartment,West Seattle,1225494,1110552,84,John Taylor
2490,Condo,Downtown,611687,617514,102,Tom Taylor
2491,House,Downtown,723916,665304,5,Chris Smith
2492,Apartment,South Lake Union,461043,516902,51,Sarah Taylor
2493,House,Downtown,658997,694620,91,David Wilson
2494,Apartment,South Lake Union,1293979,1504255,34,Emily Jones
2495,House,Downtown,781249,771952,75,Chris Brown
2496,House,South Lake Union,303544,330846,23,Laura Davis
2497,Apartment,Ballard,360592,355257,31,Lisa Davis
2498,House,Northgate,562339,593159,28,Lisa Wilson
2499,House,West Seattle,811514,882485,47,Chris Jones
2500,House,South Lake Union,844332,791627,62,Tom Jones
2501,Condo,West Seattle,334380,305389,40,Laura Jones
2502,Apartment,Downtown,462894,551457,87,Lisa Jones
2503,House,West Seattle,1452313,1628686,116,John Davis
2504,House,West Seattle,1226245,1376807,54,John Moore
2505,Apartment,Northgate,1050401,1027427,46,John Williams
2506,Condo,West Seattle,923455,1090422,97,Sarah Davis
2507,House,Capitol Hill,1438327,1489388,100,Jane Taylor
2508,Condo,Northgate,958718,1038814,111,Emily Moore
2509,Apartment,Northgate,1168533,1090674,7,Lisa Smith
2510,House,Capitol Hill,438875,470307,94,Lisa Smith
2511,House,Beacon Hill,1080967,1146006,74,Chris Wilson
2512,Apartment,Beacon Hill,612757,559278,95,Emily Johnson
2513,Condo,West Seattle,746464,690719,4,Emily Moore
2514,Condo,Downtown,1086218,1204451,54,Chris Taylor
2515,House,Beacon Hill,456313,482926,5,Sarah Williams
2516,Condo,Downtown,864309,799373,44,Mike Moore
2517,Condo,Beacon Hill,475048,505229,10,David Miller
2518,House,Downtown,1234318,1166441,78,Mike Taylor
2519,Condo,Capitol Hill,983413,1135156,4,Emily Davis
2520,House,Capitol Hill,583812,541939,36,Emily Moore
2521,House,Capitol Hill,1212851,1353499,115,Tom Jones
2522,Condo,Northgate,1042178,1078316,69,Emily Wilson
2523,House,Downtown,1423422,1331725,46,Lisa Moore
2524,Condo,West Seattle,802164,927791,70,John Davis
2525,Condo,Downtown,433794,419104,43,Laura Williams
2526,Apartment,Ballard,319856,302987,41,David Johnson
2527,Apartment,South Lake Union,1341171,1217772,57,Emily Wilson
2528,House,Northgate,444720,479109,73,Lisa Wilson
2529,Apartment,Beacon Hill,1171189,1181852,85,Mike Moore
2530,House,Beacon Hill,817361,818655,88,Mike Taylor
2531,House,Northgate,441564,501173,28,Laura Jones
2532,House,West Seattle,1171693,1405093,17,Chris Smith
2533,House,Ballard,1027237,1024794,93,Lisa Wilson
2534,Condo,Beacon Hill,983744,1106860,101,Jane Smith
2535,Condo,Beacon Hill,1087812,1052586,112,Mike Smith
2536,Apartment,Ballard,793057,834656,92,Chris Taylor
2537,Condo,Northgate,645991,675544,51,Chris Johnson
2538,Apartment,Beacon Hill,1165395,1369269,101,Sarah Moore
2539,House,West Seattle,1167041,1259140,39,David Williams
2540,Condo,Northgate,1480369,1557705,34,Chris Jones
2541,Apartment,South Lake Union,1445936,1621150,14,Tom Jones
2542,House,Capitol Hill,933731,1062046,106,Lisa Brown
2543,House,South Lake Union,647649,595728,49,Chris Williams
2544,House,Capitol Hill,625812,620634,4,Mike Miller
2545,House,Capitol Hill,828516,806564,78,Lisa Miller
2546,Condo,Beacon Hill,726022,684551,13,Jane Williams
2547,Apartment,Northgate,1291611,1430830,12,John Davis
2548,Condo,West Seattle,1065097,1134414,79,Lisa Miller
2549,Apartment,Ballard,814241,753030,35,Emily Davis
2550,Apartment,Ballard,1261880,1478232,88,Laura Davis
2551,House,Beacon Hill,1391164,1259077,15,John Brown
2552,Condo,Ballard,339071,383585,97,Chris Taylor
2553,Condo,Northgate,1184996,1173826,65,Laura Moore
2554,Condo,Beacon Hill,787745,727259,42,Mike Miller
2555,House,Northgate,635707,660808,8,Lisa Moore
2556,Condo,South Lake Union,1382452,1513354,43,Sarah Johnson
2557,House,Downtown,1053534,1099234,9,Laura Taylor
2558,House,South Lake Union,1296114,1214420,22,Emily Moore
2559,Apartment,Northgate,462938,419012,80,Tom Williams
2560,Apartment,Northgate,1272479,1152762,4,Chris Miller
2561,Condo,West Seattle,1477253,1499170,99,Tom Davis
2562,Condo,Beacon Hill,762571,841435,20,Mike Smith
2563,House,Capitol Hill,1427068,1328992,28,Laura Davis
2564,House,Northgate,1291287,1452059,62,David Johnson
2565,House,Ballard,531541,482180,72,John Johnson
2566,Apartment,Ballard,635762,756082,114,Laura Johnson
2567,House,South Lake Union,971173,944489,28,Mike Johnson
2568,House,Ballard,985160,1001935,58,Laura Smith
2569,Condo,Capitol Hill,806873,791627,76,Emily Miller
2570,Apartment,West Seattle,723322,835405,119,Lisa Wilson
2571,House,Northgate,474485,532474,8,Chris Taylor
2572,Condo,Capitol Hill,797569,936423,21,Laura Jones
2573,House,Northgate,710194,694995,72,Chris Moore
2574,Condo,West Seattle,785165,871924,52,David Williams
2575,Condo,Ballard,637172,582346,53,Mike Moore
2576,House,Downtown,847252,984451,64,Sarah Jones
2577,Apartment,South Lake Union,998363,961066,58,Tom Jones
2578,Apartment,West Seattle,384545,405997,11,Chris Taylor
2579,Apartment,Northgate,1175352,1276802,107,Lisa Moore
2580,Condo,Ballard,1371632,1463437,33,John Miller
2581,House,Ballard,785660,742703,103,Chris Johnson
2582,Condo,Downtown,732801,755790,88,Mike Brown
2583,Apartment,Ballard,754767,819526,70,Sarah Davis
2584,House,Beacon Hill,1222828,1243835,93,Chris Miller
2585,Apartment,Northgate,1190195,1303107,35,Chris Wilson
2586,House,West Seattle,613223,600924,106,Chris Jones
2587,House,Ballard,1404103,1557774,50,Laura Moore
2588,Apartment,Downtown,439613,519843,111,Emily Brown
2589,House,South Lake Union,1436388,1346709,13,Mike Davis
2590,House,Beacon Hill,398849,417964,79,Tom Jones
2591,House,Beacon Hill,575578,613475,95,Mike Williams
2592,House,West Seattle,339641,392195,89,Mike Johnson
2593,House,Downtown,669739,737488,49,Laura Jones
2594,Condo,Northgate,688521,803296,90,Sarah Johnson
2595,Apartment,Ballard,1367101,1239437,3,Tom Williams
2596,Condo,West Seattle,428067,442035,39,Emily Johnson
2597,House,Ballard,1146145,1363732,120,Mike Brown
2598,Apartment,Ballard,1112074,1152265,15,David Williams
2599,House,West Seattle,763096,778056,110,John Davis
2600,Apartment,South Lake Union,434882,401122,73,Emily Johnson
2601,Condo,West Seattle,573382,516706,77,Chris Johnson
2602,House,West Seattle,719618,829310,111,Mike Jones
2603,House,Beacon Hill,1058868,1268580,53,Lisa Miller
2604,Apartment,Capitol Hill,1253050,1235873,52,Lisa Davis
2605,Apartment,Downtown,1229712,1420995,38,Chris Taylor
2606,Apartment,Ballard,470511,432079,59,John Moore
2607,House,Capitol Hill,793402,774329,42,John Jones
2608,House,West Seattle,1134412,1102236,5,David Johnson
2609,Apartment,Capitol Hill,594339,609335,60,Mike Miller
2610,House,West Seattle,703471,720097,46,Jane Taylor
2611,Apartment,Downtown,1224214,1218651,57,Chris Miller
2612,House,Capitol Hill,1210929,1322081,33,David Johnson
2613,Apartment,Downtown,736238,787526,39,Chris Taylor
2614,House,Downtown,1258913,1390109,29,Jane Smith
2615,House,South Lake Union,1366834,1381081,81,Chris Johnson
2616,Apartment,Northgate,1376356,1451248,47,Emily Miller
2617,Condo,Northgate,717176,658079,105,Laura Jones
2618,House,Downtown,913909,1095698,6,Mike Miller
2619,Apartment,Ballard,513603,472312,61,David Wilson
2620,House,Beacon Hill,1449164,1626945,47,Emily Johnson
2621,House,Northgate,314400,290557,32,Mike Johnson
2622,House,Downtown,388439,385669,94,Lisa Johnson
2623,Condo,Northgate,1450973,1543366,58,Emily Johnson
2624,Apartment,Ballard,1060976,1018745,52,Sarah Davis
2625,Condo,South Lake Union,1088583,1174195,97,Mike Miller
2626,House,Beacon Hill,1059209,1257200,64,Lisa Jones
2627,House,Capitol Hill,444248,515944,65,Jane Williams
2628,House,Northgate,629440,724068,53,David Brown
2629,Condo,Capitol Hill,1426693,1300569,91,Sarah Wilson
2630,Apartment,South Lake Union,302891,277473,87,Emily Smith
2631,Condo,South Lake Union,367998,333843,63,Sarah Moore
2632,Apartment,Downtown,556981,506312,76,Emily Moore
2633,Apartment,Ballard,729268,760474,57,Emily Moore
2634,Apartment,West Seattle,921344,1084432,29,Sarah Johnson
2635,Condo,Capitol Hill,333340,348317,93,Mike Brown
2636,Apartment,Ballard,672103,658279,101,Laura Johnson
2637,Condo,Capitol Hill,513000,554300,94,Sarah Smith
2638,Condo,Ballard,750305,787696,18,Tom Wilson
2639,Apartment,Ballard,832970,759469,61,Sarah Williams
2640,Condo,Downtown,1454540,1459083,14,Mike Miller
2641,Apartment,Downtown,832917,767289,57,Sarah Wilson
2642,House,Ballard,1215617,1268146,107,Chris Brown
2643,Apartment,Northgate,1105366,1065357,54,Tom Wilson
2644,House,Downtown,914293,990362,84,Laura Smith
2645,Condo,West Seattle,822249,889612,34,Mike Taylor
2646,Apartment,West Seattle,457406,536351,118,Tom Taylor
2647,House,South Lake Union,961428,941649,59,Laura Moore
2648,Condo,Capitol Hill,708978,679743,17,Sarah Taylor
2649,House,West Seattle,1045558,987588,7,Jane Smith
2650,Condo,West Seattle,930049,1037059,60,John Williams
2651,House,Beacon Hill,1146303,1245636,1,Laura Smith
2652,Apartment,South Lake Union,1154011,1125688,39,John Miller
2653,Apartment,Capitol Hill,1083337,1138778,79,Jane Johnson
2654,Condo,Downtown,1395403,1655265,97,Lisa Smith
2655,Condo,Capitol Hill,907862,988140,84,Tom Jones
2656,House,West Seattle,758762,786626,114,Mike Smith
2657,Apartment,Capitol Hill,655031,619296,40,Sarah Davis
2658,Apartment,Downtown,1485555,1768301,9,Laura Brown
2659,Condo,Capitol Hill,995139,1173255,10,Emily Wilson
2660,House,Capitol Hill,828948,946604,10,Tom Jones
2661,Apartment,South Lake Union,313218,315904,61,Laura Smith
2662,House,Ballard,1229023,1160285,43,Chris Jones
2663,Condo,Ballard,1452460,1340890,93,Mike Williams
2664,Condo,Capitol Hill,1311687,1537603,65,Emily Davis
2665,House,South Lake Union,1388656,1568678,18,Lisa Johnson
2666,Condo,Capitol Hill,704163,770322,21,Lisa Smith
2667,Condo,Ballard,718078,664619,118,Lisa Miller
2668,House,Ballard,931223,997889,83,John Brown
2669,Apartment,Downtown,815371,869708,57,John Miller
2670,Condo,Beacon Hill,877865,1019394,55,Jane Davis
2671,House,Northgate,1156723,1367052,10,Emily Smith
2672,Apartment,Northgate,897815,1055677,40,Sarah Wilson
2673,Condo,Northgate,343721,404365,22,Laura Miller
2674,House,Ballard,335965,380828,62,Lisa Moore
2675,Apartment,Capitol Hill,435623,502422,30,Emily Jones
2676,House,Beacon Hill,1294796,1240866,81,David Williams
2677,Condo,West Seattle,473943,429029,96,David Wilson
2678,Condo,Capitol Hill,1127393,1072432,19,Emily Williams
2679,House,Downtown,1496433,1419572,111,Mike Brown
2680,House,Northgate,1431335,1487216,26,Mike Wilson
2681,Apartment,Beacon Hill,722246,654283,76,Emily Davis
2682,House,Downtown,1148440,1280845,16,Chris Wilson
2683,Apartment,West Seattle,1170094,1140911,38,Lisa Smith
2684,House,Downtown,592345,646085,11,Chris Smith
2685,Apartment,Ballard,945503,872204,91,Sarah Brown
2686,House,Ballard,1329054,1232753,8,Lisa Jones
2687,House,Ballard,653656,705363,35,David Smith
2688,Condo,Ballard,436965,472248,55,Lisa Wilson
2689,House,South Lake Union,449705,467784,109,Mike Moore
2690,Condo,Downtown,466235,556718,115,David Johnson
2691,Apartment,South Lake Union,1262500,1331566,61,Tom Jones
2692,Condo,Northgate,1208997,1346490,109,Emily Jones
2693,Condo,Capitol Hill,971659,1030090,111,Laura Johnson
2694,House,Beacon Hill,1240482,1443594,5,David Wilson
2695,Condo,Northgate,521029,564045,108,Lisa Moore
2696,Condo,West Seattle,882590,1021502,112,Emily Jones
2697,House,West Seattle,1354477,1371501,105,Chris Jones
2698,Condo,Downtown,386564,453205,7,Emily Smith
2699,Condo,Northgate,703862,767970,38,Mike Davis
2700,Apartment,West Seattle,715514,803344,113,John Davis
2701,Condo,Beacon Hill,653789,664952,109,David Williams
2702,Apartment,West Seattle,993107,1188869,116,Tom Jones
2703,Condo,Ballard,1209402,1153151,72,John Williams
2704,Apartment,South Lake Union,1381463,1387612,16,Tom Taylor
2705,House,Beacon Hill,1051503,1258617,92,Laura Davis
2706,Apartment,West Seattle,396607,471472,62,Lisa Jones
2707,Condo,Northgate,1463519,1408080,115,Mike Brown
2708,Condo,Beacon Hill,1399356,1333244,5,Mike Williams
2709,Condo,Beacon Hill,895780,1071322,90,Emily Moore
2710,House,Capitol Hill,1486464,1353260,11,Mike Moore
2711,House,Downtown,590291,699822,50,Emily Jones
2712,Condo,South Lake Union,484175,483613,62,Lisa Brown
2713,Apartment,South Lake Union,960217,1032508,7,Mike Smith
2714,Condo,Capitol Hill,745427,789263,14,Laura Williams
2715,Apartment,Downtown,1083704,1189339,3,John Williams
2716,Condo,West Seattle,1415050,1355901,90,Lisa Johnson
2717,House,Beacon Hill,1098862,1246970,114,David Williams
2718,Condo,Downtown,911048,953086,1,Chris Taylor
2719,Apartment,South Lake Union,666678,644553,52,John Miller
2720,Apartment,Ballard,1265558,1146328,57,Chris Moore
2721,Apartment,Beacon Hill,811253,903533,9,David Johnson
2722,Apartment,Ballard,602448,556409,83,Chris Moore
2723,Apartment,Downtown,1444657,1364314,118,Jane Brown
2724,Condo,South Lake Union,1269898,1228860,74,Chris Johnson
2725,House,Capitol Hill,756021,862065,15,Chris Jones
2726,Apartment,Downtown,697904,709092,99,David Davis
2727,Condo,Downtown,1180247,1161142,22,Sarah Williams
2728,House,West Seattle,677550,790745,102,Mike Brown
2729,Apartment,Northgate,1387514,1456850,23,Lisa Johnson
2730,Condo,Northgate,493324,455025,46,David Williams
2731,Condo,South Lake Union,305769,328469,46,Sarah Moore
2732,House,Northgate,677494,627724,13,Emily Brown
2733,Apartment,Capitol Hill,1027563,1094788,85,Lisa Johnson
2734,Apartment,Beacon Hill,958390,922656,19,Sarah Moore
2735,Apartment,Capitol Hill,697363,781524,43,Chris Smith
2736,Apartment,South Lake Union,1454474,1597091,42,Tom Taylor
2737,Apartment,South Lake Union,1479739,1400322,53,John Miller
2738,Condo,Northgate,583551,693838,42,John Williams
2739,Apartment,Downtown,847818,773188,63,Chris Taylor
2740,Condo,Ballard,964651,1011351,116,Tom Taylor
2741,Condo,Downtown,308108,353544,47,Sarah Moore
2742,House,Ballard,420970,426487,119,Emily Smith
2743,Apartment,Northgate,319397,291615,12,Lisa Moore
2744,House,West Seattle,611321,725567,1,Sarah Moore
2745,Condo,Beacon Hill,515935,560660,2,David Miller
2746,Apartment,Downtown,1120459,1303818,87,Sarah Williams
2747,Condo,West Seattle,810856,880241,82,Tom Davis
2748,House,Capitol Hill,892498,941728,5,Jane Wilson
2749,Apartment,Beacon Hill,491606,543590,7,Sarah Williams
2750,Condo,Northgate,431751,505202,36,Emily Davis
2751,Apartment,Ballard,448585,498544,40,Lisa Wilson
2752,Condo,West Seattle,1490616,1642168,80,Tom Davis
2753,Apartment,Ballard,1024572,1114815,115,Lisa Johnson
2754,Apartment,Capitol Hill,1331192,1372466,2,David Williams
2755,House,West Seattle,568322,535663,86,John Wilson
2756,Apartment,West Seattle,1476735,1603152,39,David Williams
2757,Condo,West Seattle,1107606,1071459,96,Tom Taylor
2758,Condo,South Lake Union,976480,939008,10,Jane Taylor
2759,Apartment,West Seattle,1444028,1301802,77,Jane Brown
2760,Condo,West Seattle,1341616,1370904,33,Tom Wilson
2761,House,Northgate,1498083,1584309,87,Chris Jones
2762,House,Northgate,502899,523555,85,John Davis
2763,House,Downtown,489282,456150,64,David Miller
2764,Apartment,Capitol Hill,728208,865989,63,Emily Davis
